plot_name,locality_name,country,team_leader,additional_people,ddlat,ddlon,date_census_1
Mpem001,Mpem et Djim,Cameroun,Sagang L. B.,"Libalah M., Zebaze D., Akouemo B., Sonké B., Couteron P., Ngansop E.",5.01806,11.6558,2/1/2019
Mpem002,Mpem et Djim,Cameroun,Sagang L. B.,"Libalah M., Zebaze D., Akouemo B., Sonké B., Couteron P., Ngansop E.",5.03236,11.6479,2/1/2019
Mpem003,Mpem et Djim,Cameroun,Sagang L. B.,"Libalah M., Zebaze D., Akouemo B., Sonké B., Couteron P., Ngansop E.",5.02234,11.6479,2/1/2019
Mpem004,Mpem et Djim,Cameroun,Sagang L. B.,"Libalah M., Zebaze D., Akouemo B., Sonké B., Couteron P., Ngansop E.",5.01434,11.652,2/1/2019
Mpem005,Mpem et Djim,Cameroun,Sagang L. B.,"Savignac M., Droissart M., Sonké B.",5.17896,11.5615,1/1/2020
Mpem006,Mpem et Djim,Cameroun,Sagang L. B.,"Savignac M., Droissart M., Sonké B.",5.16829,11.5848,1/1/2020
Mpem007,Mpem et Djim,Cameroun,Sagang L. B.,"Savignac M., Droissart M., Sonké B.",5.18058,11.586,1/1/2020
UMA007,UMA,République Démocratique du Congo,Eric Wasingya,Mbutanganga Tshimba,0.451351,25.8259,1/1/2014
UMA009,UMA,République Démocratique du Congo,Eric Wasingya,Mbutanganga Tshimba,0.443974,25.8067,1/1/2014
Bouamir02,Bouamir (site de recherche située dans la reserve de biosphère du Dja),Cameroon,Kamdem N,"Mofack G., Katembo J., Onguene Eric., Barbier N., Ploton P., Martin O.",3.17535,12.7974,12/5/2018
Bouamir01,Bouamir (site de recherche située dans la reserve de biosphère du Dja),Cameroon,Kamdem N,"Mofack G., Katembo J., Onguene Eric., Barbier N., Ploton P., Martin O.",3.1737,12.8032,12/2/2018
Bouamir03,Bouamir (site de recherche située dans la reserve de biosphère du Dja),Cameroon,Kamdem N,"Mofack G., Katembo J., Onguene Eric., Barbier N., Ploton P., Martin O.",3.19428,12.8151,12/8/2018
Bouamir04,Bouamir (site de recherche située dans la reserve de biosphère du Dja),Cameroon,Kamdem N,"Mofack G., Katembo J., Onguene Eric., Barbier N., Ploton P., Martin O.",3.19993,12.8196,12/11/2018
Mpem008,"Mpem et Djim, 150 Km NN-E Yaoundé",Cameroun,Sagang L. B.,"Libalah M., Droissart M., Sonké B.",5.11764,11.7406,11/1/2020
Mpem009,"Mpem et Djim, 150 Km NN-E Yaoundé",Cameroun,Sagang L. B.,"Libalah M., Droissart M., Sonké B.",5.12248,11.7363,11/1/2020
Mpem010,"Mpem et Djim, 150 Km NN-E Yaoundé",Cameroun,Sagang L. B.,"Libalah M., Droissart M., Sonké B.",5.12328,11.7267,12/1/2020
UMA016,uma,République Démocratique du Congo,John Katembo,NA,0.434181,25.7854,4/1/2015
UMA017,uma,République Démocratique du Congo,John Katembo,NA,0.451369,25.7985,5/2/2015
AbongMbang002,AbongMbang,Cameroun,Cohen S.,"Ayol T., Cosio A., Mofack G., Mogue S.",4.18674,13.1096,1/1/2016
AlpiCam018,AlpiCam,Cameroun,Cohen S.,"Libalah M., Mofack G., Ngana O., Tayo K.",3.95555,14.9534,1/1/2016
AlpiCam019,AlpiCam,Cameroun,G. Mofack,"N. Kamdem, S. Momo, Ayol T., Ngrna O.",3.84282,14.3238,7/1/2016
AlpiCam020,AlpiCam,Cameroun,G. Mofack,"N. Kamdem, S. Momo, Ayol T., Ngrna O.",3.8375,14.3146,7/1/2016
AlpiCam021,AlpiCam,Cameroun,N. Kamdem,"S. Momo, Ayol T., Ngrna O.",3.827,14.3226,7/1/2016
UMA006,Uma,République Démocratique du Congo,Barbier N.,Katembo J.,0.47503,25.8503,7/1/2013
UMA001,Uma,République Démocratique du Congo,Barbier N.,Katembo J.,0.461415,25.8477,7/1/2013
Mabou001,Mabounié,Gabon,Barbier N.,"Ploton P., Droissart V. Issembe, Y.",-0.742457,10.5615,5/1/2012
Mabou002,Mabounié,Gabon,Barbier N.,"Ploton P., Droissart V. Issembe, Y.",-0.742324,10.5894,5/4/2012
Mabou003,Mabounié,Gabon,Barbier N.,"Ploton P., Droissart V. Issembe, Y.",-0.782048,10.5491,5/6/2012
Mabou004,Mabounié,Gabon,Barbier N.,"Ploton P., Droissart V. Issembe, Y.",-0.795496,10.5332,5/8/2012
Mabou005,Mabounié,Gabon,Barbier N.,"Ploton P., Droissart V. Issembe, Y.",-0.714311,10.5839,5/9/2012
Mabou006,Mabounié,Gabon,Barbier N.,"Ploton P., Droissart V. Issembe, Y.",-0.759995,10.5425,5/11/2012
Mabou007,Mabounié,Gabon,Barbier N.,"Ploton P., Droissart V. Issembe, Y.",-0.72604900000000006,10.5269,10/11/2012
Mabou008,Mabounié,Gabon,Barbier N.,"Ploton P., Droissart V. Issembe, Y.",-0.750264,10.5413,10/12/2012
Mabou009,Mabounié,Gabon,Barbier N.,"Ploton P., Droissart V. Issembe, Y.",-0.81973,10.487,10/14/2012
Mabou010,Mabounié,Gabon,Barbier N.,"Ploton P., Droissart V. Issembe, Y.",-0.788443,10.599,10/16/2012
Mabou011,Mabounié,Gabon,Barbier N.,"Ploton P., Droissart V. Issembe, Y.",-0.730981,10.5931,10/18/2012
Mabou012,Mabounié,Gabon,Barbier N.,"Ploton P., Droissart V. Issembe, Y.",-0.776309,10.5689,10/19/2012
AlpiCam003,Alpicam,Cameroun,Ploton P.,Droissart V. Moses L.,3.68022,14.7023,3/5/2013
DengDeng002,Deng-Deng,Cameroun,Sonké B.,"Taedoumg H., Zemagho L., Ploton P., Kamdem N.",5.21306,13.4506,7/1/2011
Korup1,Korup,Cameroun,Barbier N.,"Ploton P., Droissart V. Moses L.",5.07081,8.86928,2/28/2012
AlpiCam002,Alpicam,Cameroun,Ploton P.,Droissart V. Moses L.,3.68437,14.7054,3/2/2013
Bissombo001,Bissombo,Cameroun,Sonké B.,NA,3.29492,12.4845,1/1/
Bissombo002,Bissombo,Cameroun,Sonké B.,NA,3.29206,12.4838,1/1/
Bissombo003,Bissombo,Cameroun,Sonké B.,NA,3.32253,12.4948,1/1/
Bissombo004,Bissombo,Cameroun,Sonké B.,NA,3.32597,12.4833,1/1/
Bissombo005,Bissombo,Cameroun,Sonké B.,NA,3.30953,12.4899,1/1/
Bissombo006,Bissombo,Cameroun,Sonké B.,NA,3.31197,12.4917,1/1/
DengDeng001,Deng-Deng,Cameroun,Sonké B.,"Taedoumg H., Zemagho L., Ploton P., Kamdem N.",5.21419,13.4449,7/1/2011
Korup2,Korup,Cameroun,Barbier N.,"Ploton P., Droissart V. Moses L.",5.06497,8.86131,3/3/2012
Pallisco2,Pallisco,Cameroun,Barbier N.,"Ploton P., Droissart V. Moses L., Taedoumg H.",3.40365,13.676,11/12/2012
Pallisco3,Pallisco,Cameroun,Barbier N.,"Ploton P., Droissart V. Moses L., Taedoumg H.",3.38008,13.6611,11/15/2012
Pallisco4,Pallisco,Cameroun,Barbier N.,"Ploton P., Droissart V. Moses L., Taedoumg H.",3.38401,13.6733,11/20/2012
Ngoila001,Ngoïla,Cameroun,Sonké B.,"Droissart V., Taedoumg H., Zemagho L.",2.63894,14.1355,8/1/2012
Ngoila002,Ngoïla,Cameroun,Sonké B.,"Droissart V., Taedoumg H., Zemagho L.",2.63991,14.1424,8/1/2012
Ngoila003,Ngoïla,Cameroun,Sonké B.,"Droissart V., Taedoumg H., Zemagho L.",2.63331,14.1403,8/1/2012
Lomié001,Lomié,Cameroun,Sonké B.,NA,3.11611,13.5801,1/1/
Lomié003,Lomié,Cameroun,Sonké B.,NA,3.04219,13.6179,1/1/
Lomié004,Lomié,Cameroun,Sonké B.,NA,3.04942,13.6156,1/1/
Lomié005,Lomié,Cameroun,Sonké B.,NA,3.02986,13.615,1/1/
Mintom003,Mintom,Cameroun,Sonké B.,"Droissart V. Taedoumg H., Simo M.",2.43329,13.5188,3/1/2011
Somalomo001,Somalomo,Cameroun,Sonké B.,NA,3.32564,12.7161,1/1/
Somalomo003,Somalomo,Cameroun,Sonké B.,NA,3.35511,12.7229,1/1/
Somalomo004,Somalomo,Cameroun,Sonké B.,NA,3.35697,12.7273,3/1/2005
Somalomo005,Somalomo,Cameroun,Sonké B.,NA,3.35511,12.7229,1/1/
Somalomo006,Somalomo,Cameroun,Sonké B.,NA,3.32808,12.7586,3/6/2005
Lomié002,Lomié,Cameroun,Sonké B.,NA,3.11597,13.5858,1/1/
Lomié006,Lomié,Cameroun,Sonké B.,NA,3.02813,13.6121,1/1/
Somalomo002,Somalomo,Cameroun,Sonké B.,NA,3.33098,12.7202,2/25/2005
AlpiCam005,AlpiCam,Cameroun,Droissart V.,"Moses L., Deblauwe V.",3.68764,14.694,5/20/2013
AlpiCam006,AlpiCam,Cameroun,Droissart V.,"Moses L., Deblauwe V.",3.67912,14.688,5/20/2013
Djoum001,Djoum,Cameroun,Droissart V.,"Simo M., Fabre I.",2.78431,12.7633,4/1/2011
Djoum002,Djoum,Cameroun,Droissart V.,"Simo M., Fabre I.",2.79376,12.7477,4/1/2011
Kongo001,Kongo,Cameroun,Barbier N.,Ploton P.,3.3044,13.8186,11/28/2011
Kongo002,Kongo,Cameroun,Barbier N.,Ploton P.,3.30075,13.809,12/1/2011
Kongo003,Kongo,Cameroun,Barbier N.,Sonké B. Ploton P.,3.29722,13.8218,12/5/2011
Kumu001,Kumu,Cameroun,Droissart V.,"Barbier N., Ploton P.",2.3781,13.253,8/10/2011
Kumu002,Kumu,Cameroun,Droissart V.,"Barbier N., Ploton P.",2.37607,13.2434,8/10/2011
Kumu003,Kumu,Cameroun,Droissart V.,"Barbier N., Ploton P.",2.37688,13.2472,8/10/2011
Mintom001,Mintom,Cameroun,Barbier N.,"Couteron P., Fabre I.",2.43633,13.5364,3/1/2011
Mintom002,Mintom,Cameroun,Barbier N.,"Couteron P., Fabre I.",2.44299,13.5275,3/1/2011
Ngoila005,Ngoïla,Cameroun,Sonké B.,"Kamdem N., Moses L., Zebaze D.",2.6234,14.0525,8/10/2013
Ngoila006,Ngoïla,Cameroun,Sonké B.,"Kamdem N., Moses L., Zebaze D.",2.62778,14.0497,8/10/2013
UMA005,Uma,République Démocratique du Congo,Barbier N.,Katembo J.,0.456495,25.8394,7/1/2013
UMA004,Uma,République Démocratique du Congo,Barbier N.,Katembo J.,0.45082,25.852,7/1/2013
UMA003,Uma,République Démocratique du Congo,Barbier N.,Katembo J.,0.458985,25.8358,7/1/2013
UMA002,Uma,République Démocratique du Congo,Barbier N.,Katembo J.,0.46129,25.8441,7/1/2013
Lomié008,Lomié,Cameroun,Libalah M.,"Kamdem N., Kamdem G., Wonkam C.",3.11289,13.5774,11/18/2013
Evaro001,Evaro,Gabon,Barbier N.,"N. Texier, D. Zebaze, Raul Niangadouma",-0.816822,9.45802,10/20/2014
